@relation 'StackOverflow: -C -15'
@attribute title string
@attribute java {0,1}
@attribute android {0,1}
@attribute javascript {0,1}
@attribute multithreading {0,1}
@attribute mysql {0,1}
@attribute swing {0,1}
@attribute excepton {0,1}
@attribute eclipse {0,1}
@attribute python {0,1}
@attribute django {0,1}
@attribute dictionary {0,1}
@attribute matplotlib {0,1}
@attribute numpy {0,1}
@attribute scala {0,1}
@attribute functional-programming {0,1}
@data
'javascript callback after loop',1,1,1,0,0,0,0,0,0,0,0,0,0,0,0

'Using DbUnit with tables which do not have primary keys',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'Android Edit Bitmap Channels',1,1,0,0,1,0,0,0,1,0,0,0,0,0,0

'JavaDoc Reusable Parameter Values',1,0,0,0,0,0,0,0,1,0,0,0,0,0,0

'Rails 3 Unobtrusive Javascript Search Form Back Button',1,0,1,0,0,0,0,0,0,0,0,0,0,0,0

'how to make an application in android run even if the user destroyed it',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'How to get xml source code from UIWebView',1,0,1,0,0,0,0,0,0,0,0,0,0,0,0

'why ConcurrentModificationException is not thrown',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'Jquery resizable does not work',1,0,1,0,0,0,0,0,0,0,0,0,0,0,0

'Array RGB manipulation',1,1,0,0,0,0,0,0,1,0,0,0,0,0,0

're-start animation with start button with burst-engine and canvas',1,0,1,0,0,0,0,0,0,0,0,0,0,0,0

'Copy contents of one textbox to another',1,0,1,0,0,0,0,0,0,0,0,0,0,0,0

'Spring Entity bean not known. Using new Spring 3.1 packagesToScan property and no persistence.xml',1,1,0,0,0,0,0,0,0,0,0,0,0,0,0

'Javascript horizontal accordion slidemenu',1,0,1,0,1,0,0,0,0,0,0,0,0,0,0

'Is it possible to have multiple cxf.xml files to configure separate parts of the system',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'How to write a Java 3D element on a web page *without* the client installing plug-ins like Java3D',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'Is binding objects to angulars $rootScope in a service bad',1,0,1,0,0,0,0,0,0,0,0,0,0,0,0

'Trigger the render of a combo box when the others value is changed in JSF 1.2',1,1,0,0,1,0,0,0,0,0,0,0,0,0,0

'how to add listener to an adapter in java swing',1,0,0,0,1,0,0,0,1,0,0,0,0,0,0

'SSH connection with Java',1,0,0,0,1,0,0,0,0,0,0,0,0,0,0

'javascript binary search tree implementation',1,1,1,0,0,0,0,0,1,0,0,0,0,0,0

'Ideal data source for Standalone Applications',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'Simple Telnet Chat Server nodejs',1,0,1,0,1,0,0,0,0,0,0,0,0,0,0

'From a ruby developers perspective (minimalist coder etc) what is the most efficient way to deal with javascript on rails 3',1,1,1,0,0,0,0,0,0,0,0,0,0,0,0

'how to handle nested struct in hive UDF',1,0,0,0,1,0,0,0,0,0,0,0,0,0,0

'extract the user context of the java vm',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'Creating a Custom DTD for Visual Studio',1,0,1,0,0,0,0,0,0,0,0,0,0,0,0

'Performance difference between spring javaconfig xml config and annotations',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'How can I see the code that HotSpot generates after optimizing',1,0,0,1,0,0,0,0,0,0,0,0,0,0,0

'How to use JSON to get data on website in android',1,1,0,0,0,0,0,0,1,0,0,0,0,0,0

'Capture printStackTrace() output in Android',1,1,0,0,0,0,0,1,1,0,0,0,0,0,0

'java mysql compare and edit values',1,1,0,0,0,0,0,0,0,0,0,0,0,0,0

'Something wrong in making <object> tag revisable',1,0,1,0,0,0,0,0,0,0,0,0,0,0,0

'What is the best Facebook / Twitter SSO framework',1,0,1,0,0,0,0,0,0,0,0,0,0,0,0

'a html layout problem',1,0,1,0,0,0,0,0,0,0,0,0,0,0,0

'ruby on rails multiple file upload as of GMail using javascript or jQuery',1,0,1,0,1,0,0,0,1,0,0,0,0,0,0

'Jquery syntax when calling methods',1,0,1,0,0,0,0,0,0,0,0,0,0,0,0

'Posting on Facebook  works fine but throws error in console WHY',1,1,1,0,0,0,0,0,1,0,0,0,0,0,0

'Spring dependency injection: Inject all instances of interface',1,1,0,0,0,0,0,0,1,0,0,0,0,0,0

'Detect if selected element is an anchor on right click',1,0,1,0,0,0,0,0,0,0,0,0,0,0,0

'packages deployment best definition',1,1,0,0,0,0,0,0,1,0,0,0,0,1,0

'How to add an element to an existing xml files with Stax',1,0,0,0,0,0,0,0,1,1,0,0,0,0,0

'What are these threads which are spwaned when a Java application begins its execution',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'Why would you use nested InvokeLater calls in Java',1,1,0,0,0,1,0,0,0,0,0,0,0,0,0

'window.onload works fine with aspx page but not in regular htm',1,0,1,0,0,0,0,0,1,1,0,0,0,0,0

'Redirect To A Url With Header Information Javascript',1,0,1,0,0,0,0,0,0,0,0,0,0,0,0

'EJB3 / JPA @Transactional',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'Do any search engines index web page source code',1,0,1,0,0,0,0,0,1,0,0,0,0,0,0

'Is it bad practise to use SquishIt to minify javascript which is already minifed',1,1,1,0,0,0,0,0,0,0,0,0,0,0,0

'rounding autoSumForm values',1,1,1,0,0,0,0,0,0,0,0,0,0,0,0

'Uploading documents on amazon cloud search',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'javascript document.cookie missing some pairs',1,0,1,0,0,0,0,0,0,0,0,0,0,0,0

'java.util.UUID.fromString not checking length',1,0,0,0,0,0,0,0,0,1,0,0,0,0,0

'What needs to be considered when invoke threads inside a thread in Java or It should be avoided',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'ArrayList objects in Java',1,1,0,0,0,0,0,0,0,0,0,0,0,0,0

'How to Use ClickableSpans in a TextView and still be able to scroll horizontally',1,0,0,0,1,0,0,0,0,0,0,0,0,0,0

'Java multi-thread programming - atomic operation',1,0,0,0,0,0,0,0,0,0,0,0,0,1,0

'using :nth-child to select lines and append',1,0,1,0,1,0,0,0,0,0,0,0,0,0,0

'Check the ThreadStackSize Progamatically',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'bind click to element added in dom cause trigger element to perform',1,0,1,0,0,0,0,0,0,0,0,0,0,0,0

'How do you trace/debug Apache Camel or AOP-modified code',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'JAX-WS trouble at handling the response message on the client side',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'parallel application checkpointing in java',1,0,0,0,0,0,0,0,1,0,0,0,0,0,0

'Smaller Methods',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'Java program blocking ports',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'How to get WS-Security certificate to be accepted by Java application',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'Java/SQL - For Loop',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'Vertical scroll on div text',1,0,1,0,0,0,0,0,0,0,0,0,0,0,0

'bufferwriter not writing to file',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'Working on a Java GUI/Canvas project',1,1,0,0,0,0,0,0,0,0,0,0,0,0,0

'Android detect when the application is paused',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'javascript counter - immediately implement comma on page load',1,0,1,0,0,0,0,0,0,0,0,0,0,0,0

'Regular Expression to remove Div tags',1,1,1,0,0,0,0,0,0,0,0,0,0,0,0

'Simple Javascript loop that repeats each second',1,0,1,0,0,0,0,0,0,0,0,0,0,0,0

'generate latex source files',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'Test with Java if two IPs are in the same network',1,1,0,0,0,0,0,0,0,0,0,0,0,0,0

'How to make JavaScript array values as variables for loop',1,1,1,0,0,0,0,0,0,0,0,0,0,0,0

'Embed wordfair in Joomla',1,0,1,0,1,0,0,0,0,0,0,0,0,0,0

'Embedded youtube clicps - play next',1,0,1,0,0,0,0,0,0,0,0,0,0,0,0

'iPhone webapp GPS accuracy',1,0,1,0,0,0,0,0,0,0,0,0,0,0,0

'Just a small problem regarding javascript BOM question',1,1,1,0,0,0,0,0,0,0,0,0,0,0,0

'integer array static initialization',1,1,0,0,0,0,0,0,1,0,0,0,0,0,0

'Getting selected text in a browser cross-platform',1,0,1,0,0,0,0,0,0,0,0,0,0,0,0

'how to enable/add scrollbar in android phonegap',1,0,1,0,0,0,0,0,0,0,0,0,0,0,0

'why does this jquery image swap not work in chrome and on first load in firefox',1,1,1,0,0,0,0,0,0,0,0,0,0,0,0

'Poor performance of lwuit list on Nokia C3',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'NullPointerException thrown trying to copy Map',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'Opening a database connection in a constructor when should I close it',1,0,0,0,0,0,0,0,1,0,0,0,0,0,0

'How to load a class which implements a interface from a jar file at runtime',1,0,0,0,0,0,0,0,1,0,0,0,0,0,0

'javascript call a privileged method',1,1,1,0,1,0,0,0,1,0,0,0,0,0,0

'How to upload and save files in specific locations based on their names',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'I have problem with implementing java array in Drools 5.0',1,0,0,0,0,0,0,0,1,0,0,0,0,0,0

'Checking if user has a certain extension installed',1,0,1,0,0,0,0,0,1,0,0,0,0,0,0

'Importing mulitple HTML content into a page using a single function',1,0,1,0,0,0,0,0,0,0,0,0,0,0,0

'How to apply a renderer only to a particular cell instead of whole column in JTable',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'Run IDE for Java ON Android 3.1',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'What is the correct way to stop a thread waiting for network activity',1,1,0,0,0,0,0,0,0,0,0,0,0,0,0

'Constructor not visible',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'JavaFX in the wild',1,1,0,0,0,0,0,0,1,0,0,0,0,0,0

'GWT - Debugging in Eclipse without showing the library code',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'Why is this greasemonkey/javascript code operating on colons',1,0,1,0,0,0,0,0,0,0,0,0,0,0,0

'Looking to access 16-bit image data in Javascript/WebGL',1,0,1,0,0,0,0,0,0,0,0,0,0,0,0

'Netbeans Platform: Incorrect Numbering in project wizard',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'Any way to change the sampling frequency of a WAV (or MP3) in Android or just Java',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'Hibernate : Strange TypeCast Exception Thrown While retrieving records in Java from postgres database table',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'When authoring a jquery plugin how do I call one of my main plugin methods from another method',1,1,1,0,0,0,0,0,0,0,0,0,0,0,0

'Shade regions of line chart in Ext JS',1,1,1,0,0,0,0,0,0,0,0,0,0,0,0

'JEditorPane saves HTML using entities instead diacritics',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'Cutting down a .jar file to lighten an Android app',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'EJB SessionBean - combination of @TransactionManagement and @TransactionAttribute',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'AspectJ pointcut to method call in specific methods',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'Create byte stream from list of IEEE 754 single-precision (32-bit) floating point',1,0,0,0,0,0,0,0,1,0,0,0,0,0,0

'Can I have IO exception when I create a server socket in Java',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'Junit Test Case constructor calls in parameterized runner',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'What is the best approach to implement search for searching documents (PDF XML HTML MS Word)',1,1,0,0,0,0,0,0,0,0,0,0,0,0,0

'Selecting and deselecting multiple checkboxes',1,0,1,0,0,0,0,0,0,1,0,0,0,0,0

'Can i disable skin loading for YUI3 modules',1,0,1,0,0,0,0,0,0,1,0,0,0,0,0

'variable is not visible which gets the value in one loop and access in another loop in ajax',1,0,1,0,0,0,0,0,0,0,0,0,0,0,0

'Get index from table (the tr has no ID)',1,0,1,0,0,0,0,0,1,0,0,0,0,0,0

'Return values from eclipse plug-ins through extension points',1,1,0,0,0,0,0,1,1,0,0,0,0,0,0

'JSR 330 and Guice interoperability',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'Insert Query is inserting only first row from the result set in the database table',1,0,0,0,1,0,0,0,0,0,0,0,0,0,0

'Java EE: EclipseLink and JTA with Derby Persistence issue',1,0,0,0,1,0,0,0,0,0,0,0,0,0,0

'Including all libraries audio etc. of a Java program in one JAR file',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'How to catch OptimisticLockException in JavaEE 6',1,1,0,0,0,0,0,0,0,0,0,0,0,0,0

'select onchange firing twice in ie7',1,0,1,0,0,0,0,0,0,0,0,0,0,0,0

'Which way is faster to copy an array of objects: slice or clone',1,1,1,0,0,0,0,0,0,0,0,0,0,0,0

'INSERT specific charset with Java+mySQL from CSV',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'Error when try to getFirstOccurrence() of a RecurringAppointment (EWS Java API)',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'Is there a way to conditionally copy a file using ant',1,0,0,0,0,0,0,0,1,0,0,0,0,0,0

'post Notification Delayed',1,1,0,0,0,0,0,0,0,0,0,0,0,0,0

'java class for reading TXT into hashmap',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'javascript rounding',1,0,1,0,0,0,0,0,0,0,0,0,0,0,0

'Simulating user input for TDD JavaScript',1,0,1,0,0,0,0,0,1,0,0,0,0,0,0

'Inserting Element Based on a Condition',1,1,1,0,0,0,0,0,0,0,0,0,0,0,0

'Java - How To Synchronize 2 Threads On 1 List',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'using java mail message object between web applications',1,1,0,0,0,0,0,0,0,0,0,0,0,0,0

'Set cookies in javascript - intergrated with pop up',1,1,1,0,0,0,0,0,0,0,0,0,0,0,0

'Web-service with attachment failed on 2-ways SSL connection',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'How to Fetch 1.7 Million records in Java',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'Failing to call java function in android with javascript',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'Mozilla Builder editor unescaping Unicode characters concurrent w. failed AMO uploads',1,0,1,0,0,0,0,0,0,0,0,0,0,0,0

'Any way to get a File object from a JAR',1,0,0,0,0,0,0,0,1,0,0,0,0,0,0

'Why do I get this compile error in Java',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'Retain class independence or avoid type checking',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'Object method gone after obj.prototype = new ParentObj(); in JavaScript',1,0,1,0,0,0,0,0,0,0,0,0,0,0,0

'Comparing two Strings in java and identifying duplicate words',1,1,0,0,0,0,0,0,1,0,0,0,0,0,0

'JavaScript: Stop the selection of a draggable element',1,0,1,0,0,0,0,0,0,0,0,0,0,0,0

'How to convert the following string to date or calendar object',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'Finalize first element of an array',1,1,0,0,0,0,0,0,1,0,0,0,0,0,0

'Creating a CSV File in java from a HashMap',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'jquery change function works on one page but not another',1,0,1,0,0,0,0,0,0,0,0,0,0,0,0

'Simple reusable javascript averaging function for multiple forms on same page',1,0,1,0,0,0,0,0,0,0,0,0,0,0,0

'Show FileReader result in html page (not alert)',1,1,1,0,0,0,0,0,0,0,0,0,0,0,0

'how to get the lowest float value from the hash map',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'How to determine when a user is leaving a webpage (excluding certain links)',1,0,1,0,0,0,0,0,0,0,0,0,0,0,0

'CodeNarcs static code analysis is not able to find proper class dependencies',1,0,0,0,1,0,0,0,0,0,0,0,0,0,0

'knowing series number (related to database data) to change series attributes',1,1,0,0,0,0,0,0,0,0,0,0,0,0,0

'How many classes maximum i can put in my program blackbbery java',1,0,0,0,1,0,0,0,0,0,0,0,0,0,0

'MutliLine EditText Resize To Fit Content Within ExpandableListView',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'Trying to write a code to keep asking the user the same dialog until they get it correct',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'Re-throw an InvocationTargetException target exception',1,1,0,0,0,0,0,0,0,0,0,0,0,0,0

'How do I pass a Linked List of custom objects between activities in an android application',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'on clicking the menu in one div the result should display in another div of same web page',1,0,1,0,0,0,0,0,1,0,0,0,0,0,0

'How to remove sufix in wicket web page',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'How can we access the value of a radio button using the DOM',1,0,1,0,0,0,0,0,0,0,0,0,0,0,0

'Remove/change Internal styles sheet styles with JavaScript/jQuery',1,1,1,0,1,0,0,0,0,0,0,0,0,0,0

'Capture screenshot of Active Window',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'How do I run arbitrary code when a Java HTTP Servlet session ends',1,0,0,0,1,0,0,0,0,0,0,0,0,0,0

'android layout fixed size',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'Facebook auth dialog says Okay go to application instead of Allow',1,0,1,0,0,0,0,0,0,0,0,0,0,0,0

'Can i nest classes within enums and create arraylist within an enum',1,1,0,0,0,0,0,0,0,0,0,0,0,0,0

'Large amount of unit tests cause freezes with Failed Binder Transaction',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'Why should I need the push function',1,0,1,0,0,0,0,0,0,0,0,0,0,0,0

'Dojo tutorial - Business Application Architecture',1,0,1,0,0,0,0,0,0,0,0,0,0,0,0

'AspectJ pointcut on method variable is it possible',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'how do I strip white space when grabbing text with jQuery',1,0,1,0,0,0,0,0,0,0,0,0,0,0,0

'Excel Cell Splitting in Java',1,0,0,0,0,0,0,0,1,1,0,0,0,0,0

'json vs big js array',1,1,1,0,0,0,0,0,0,0,0,0,0,0,0

'Why do we need Application Server in Java',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'Session tracking using Httpsession Object if Cookies is disabled at browser',1,1,0,0,0,0,0,0,0,0,0,0,0,0,0

'Cant filter more than one select box using chained selects with Jquery/ajax',1,0,1,0,0,0,0,0,1,0,0,0,0,0,0

'What happens when you increment an integer beyond its max value',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'html5 audio: play sounds instantly on ipad when clicked',1,0,1,0,0,0,0,0,0,0,0,0,0,0,0

'Matlab / Java API callback',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'Jquery scrollTo only scrolling up in small increments',1,0,1,0,0,0,0,0,0,0,0,0,0,0,0

'Best means to store/add/delete a simple set of data in Java',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'Documents-oriented architecture and hibernate. Starting point',1,1,0,0,0,0,0,0,0,0,0,0,0,0,0

'parameters of glGenTexture',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'what does the default struts handler for DELETE do',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'SVNKit - get modifications to commit',1,0,0,0,0,0,0,0,1,0,0,0,0,0,0

'Android reflection: get all package names in APK',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'Java class with possibly-missing run-time dependencies',1,0,0,0,0,0,0,0,1,0,0,0,0,0,0

'Is there an activity indicator in Wicket',1,0,0,0,0,0,0,0,1,1,0,0,0,0,0

'Why is defining JS prototype functions separately faster than in a dictionary',1,0,1,0,0,0,0,0,0,0,0,0,0,0,0

'JAXB Fragmented Marshalling',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'representing CFG productions',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'Proper method for accessing OAuth2 tokens via javascript',1,1,1,0,0,0,0,0,0,0,0,0,0,0,0

'MVC: How can I make sure that my field have the value selected inside my view on the edit form',1,0,1,1,0,0,0,0,0,0,0,0,0,0,0

'Java Web - SSO on Intranet and FORM or BASIC on Internet',1,0,0,0,0,0,0,0,1,0,0,0,0,0,0

'Solution for server side web scraping/navigation (with JavaScript support)',1,0,1,0,0,0,0,0,0,0,0,0,0,0,0

'IndexOutOfBoundsException thrown by java.nio bytebuffer.put(byte[] arsrc int offset  int length)',1,0,0,0,1,0,0,0,0,0,0,0,0,0,0

'Problem with Json Date format when calling cross-domain proxy',1,1,1,0,0,0,0,0,0,0,0,0,0,0,0

'Why can I not call these JQuery/Javascript Functions in an external script file',1,1,1,0,0,0,0,0,0,0,0,0,0,0,0

'How to frame XML from Excel (XSLX) using Java',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'check if a collection is empty in java : Which is the best method',1,1,0,0,0,0,0,0,0,0,0,0,0,0,0

'Problem creating an in memory db with hibernate and dbunit maven plugins',1,1,0,0,0,0,0,1,1,0,0,0,0,0,0

'How to use JET for generation class with methods',1,0,0,0,0,0,0,0,1,0,0,0,0,0,0

'JQuery Deferred. Using $.when and .progress()',1,0,1,0,0,0,0,0,0,0,0,0,0,0,0

'what resolution should I use in my code to test if a table runs off the page',1,0,1,0,0,0,0,0,0,0,0,0,0,0,0

'read time from text file in java',1,1,0,1,0,0,0,0,1,0,0,0,0,0,0

'Compare two screenshots doesnt work correctly-java',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'java kdb - casting C to string',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'How to fake return calls from the geolocator in jasmine',1,0,1,0,0,0,0,0,1,0,0,0,0,0,0

'What do return -1 1 and 0 mean in this Javascript code',1,1,1,0,0,0,0,0,0,0,0,0,0,0,0

'Android polygon overlay ontap',1,0,0,0,0,0,0,0,0,1,0,0,0,0,0

'Is it possible to use JCrop to select multiple area in an image',1,0,1,0,0,0,0,0,0,0,0,0,0,0,0

'Need a better code for this Ajax code',1,0,1,0,0,0,0,0,0,0,0,0,0,0,0

'Parsing an XML document using jQuery Is there an efficient method',1,1,1,0,0,0,0,0,1,0,0,0,0,0,0

'Missing data while sending large string over TCP. (client/server)',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'Tumblr: How to control CSS with post tagging (UPDATE: Working Method without JQuery!)',1,1,1,0,0,0,0,0,0,0,0,0,0,0,0

'Spring 3.0 localization not working in tomcat only from jetty locally',1,1,0,0,1,0,0,0,0,0,0,0,0,0,0

'javascript countdown',1,0,1,0,0,0,0,0,0,0,0,0,0,0,0

'Tinyscrollbar and tab key interaction',1,0,1,0,0,0,0,0,1,0,0,0,0,0,0

'How can I count the time it takes a function to complete in Java',1,1,0,0,0,0,0,0,0,0,0,0,0,0,0

'Not able to use Log android',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'How to remove part of user entered values and append new values to an input box',1,1,1,0,0,0,0,0,1,0,0,0,0,0,0

'CSS: Why doesnt the photo scale',1,0,1,0,0,0,0,0,0,0,0,0,0,0,0

'translating from javascript to jquery',1,1,1,0,0,0,0,0,0,0,0,0,0,0,0

'input field placeholder attribute ie7+',1,0,1,0,0,0,0,0,0,0,0,0,0,0,0

'Strict and reliable timeout on HttpClient',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

'JDBC connection to Sql Server 2008',1,0,0,0,1,0,0,0,0,0,0,0,0,0,0

'Amazon Credentials Method not found',1,0,0,0,0,0,0,0,1,0,0,0,0,0,0

'how to target certain time using jquery Countdown - http://keith-wood.name/countdown.html',1,1,1,0,0,0,0,0,0,0,0,0,0,0,0

'How can I use a JMS adapter to listen Amazon SQS',1,0,0,0,1,0,0,0,0,0,0,0,0,0,0

'Backbones fetch(): Add only models that are new to the collection',1,1,1,0,0,0,0,0,0,0,0,0,0,0,0

'Lucene JDBC Directory',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

